userId,gender,birthDate
brisk_eagle5956,FEMALE,1968-09-13
brisk_fox7632,MALE,1967-02-25
brisk_nova2029,FEMALE,1989-09-23
brisk_otter2613,MALE,1968-11-11
brisk_wolf5663,FEMALE,2006-06-12
calm_comet8665,FEMALE,1984-04-28
calm_dolphin403,MALE,1982-09-28
calm_otter7758,MALE,1976-11-08
calm_quark6176,MALE,1971-12-31
calm_tiger2344,MALE,2002-06-08
calm_wolf8632,FEMALE,2006-08-20
clever_fox6898,MALE,1994-12-14
clever_fox9712,MALE,2003-11-10
clever_nova8148,FEMALE,1965-06-13
clever_panda5602,FEMALE,2000-02-11
crisp_nova1227,FEMALE,1991-08-23
crisp_thread4777,FEMALE,1994-10-24
crisp_vector3406,MALE,1988-08-22
eager_otter3760,MALE,1968-12-01
eager_quark392,MALE,1970-04-14
eager_socket6497,FEMALE,1974-12-21
eager_stream4238,MALE,1994-10-19
focal_kernel7303,MALE,1969-12-11
focal_pixel360,FEMALE,2000-02-14
focal_quark1733,FEMALE,1976-12-29
focal_quark1905,FEMALE,1998-08-18
focal_stream6410,MALE,1974-09-10
focal_thread598,MALE,1974-02-09
focal_vector4213,MALE,1998-10-15
grand_nova9508,MALE,1996-06-27
grand_socket2846,FEMALE,1971-02-12
grand_stream7248,MALE,1977-04-06
grand_thread2073,FEMALE,1992-12-13
grand_vector2873,MALE,1975-08-05
humble_eagle8523,MALE,1969-02-18
humble_pixel1092,FEMALE,1973-08-11
humble_wolf3165,MALE,1972-07-25
jolly_buffer5635,FEMALE,2006-05-08
jolly_panda9539,MALE,2001-09-24
jolly_quark5477,MALE,1989-10-08
jolly_socket5448,FEMALE,1970-12-18
jolly_wolf8166,MALE,1965-11-07
keen_buffer9231,FEMALE,1977-10-15
keen_nova6260,FEMALE,1969-01-18
keen_otter2097,MALE,1984-08-24
keen_otter6287,FEMALE,2005-12-08
keen_pixel9506,MALE,1965-07-18
keen_quark2302,MALE,1972-10-13
keen_sparrow1519,MALE,1995-11-15
lucid_nova5888,FEMALE,1991-11-30
lucid_otter7706,MALE,1977-03-07
lucid_thread4177,FEMALE,1981-12-03
mellow_eagle6159,FEMALE,1979-01-14
mellow_otter4046,MALE,1965-06-11
mellow_pixel6497,FEMALE,2005-04-22
mellow_wolf6138,MALE,1993-10-25
nimble_otter1525,FEMALE,1980-06-29
quick_buffer3043,FEMALE,1983-11-14
quick_comet623,FEMALE,1984-09-07
quick_nova2524,MALE,1989-02-14
quick_otter845,MALE,1972-12-29
quick_panda2567,MALE,1968-01-24
quick_thread4667,FEMALE,1975-12-22
quick_vector9062,FEMALE,1996-01-05
quick_wolf7206,FEMALE,1981-04-30
royal_buffer3952,FEMALE,1999-05-07
royal_lynx9249,FEMALE,1995-11-24
royal_orca2671,MALE,1997-04-15
solid_buffer9880,MALE,1991-04-29
solid_comet5883,MALE,2007-04-20
solid_kernel6750,FEMALE,1965-05-09
solid_nova4360,MALE,1973-05-05
solid_otter8806,MALE,1991-11-27
solid_pixel2225,FEMALE,1965-03-24
solid_vector1583,MALE,1966-05-26
tender_lynx2843,FEMALE,1973-11-18
tender_otter3199,MALE,1988-07-04
tender_thread432,MALE,2000-05-15
tender_wolf6512,MALE,1974-09-30
urban_eagle5968,MALE,1977-01-08
urban_lynx2296,MALE,1979-01-18
urban_lynx9933,MALE,2004-09-16
urban_orca3377,MALE,1986-11-23
urban_pixel7494,FEMALE,2006-08-22
urban_pixel9050,MALE,1991-04-28
urban_pixel912,FEMALE,1988-11-14
urban_quark4050,MALE,1976-09-22
urban_tiger6918,MALE,1981-06-16
vivid_comet3100,MALE,2004-04-24
vivid_nova5727,MALE,1976-02-19
vivid_panda8187,MALE,1994-02-23
vivid_quark1215,FEMALE,1975-04-19
vivid_sparrow717,FEMALE,1971-01-29
vivid_tiger2236,FEMALE,1999-09-08
witty_comet997,MALE,1996-05-04
witty_kernel8802,FEMALE,1986-10-18
witty_nova1505,MALE,1980-06-07
witty_nova222,FEMALE,2000-04-28
witty_orca8251,FEMALE,1972-09-27
witty_vector6979,MALE,1984-01-27
